"id","title","artist","date","room"
453,"Portrait Bust of M. de Neuville, Captain of Artillery and Comptroller General","Jean-Jacques Caffieri","c. 1780","G317"
3738,"Maquette of the Grand Salon of the HÃ´tel de la BouexiÃ¨re","Robert Carlhian","1949","G317"
5392,"Coffee pot, from a child's tea set, in blue and white",null,"c. 1780-1790","G317"
18399,"Candlestick","William Adby","1787","G317"
21428,"Teapot and Stand","Thomas Daniell","1787","G317"
22185,"Candlestick, one of a pair",null,"c. 1780","G317"
22186,"Candlestick, one of a pair",null,"c. 1780","G317"
30005,"Tea pot, from a child's tea set, in blue and white",null,"c. 1780-1790","G317"
30006,"Cream pitcher, from a child's tea set, in blue and white",null,"c. 1780-1790","G317"
30007,"Tea bowl, from a child's tea set, in blue and white",null,"c. 1780-1790","G317"
30008,"Cup and saucer, from a child's tea set, in blue and white",null,"c. 1780-1790","G317"
30009,"Cup and saucer, from a child's tea set, in blue and white",null,"c. 1780-1790","G317"
30010,"Cup and saucer, from a child's tea set, in blue and white",null,"c. 1780-1790","G317"
30011,"Cup and saucer, from a child's tea set, in blue and white",null,"c. 1780-1790","G317"
35002,"Coffee pot and cover","Meissen Porcelain Factory","c. 1735","G317"
66169,"Chocolate muddler",null,"c. 1760","G317"
109925,"De la BouÃ«xiÃ¨re Ewer","Vincennes Porcelain Factory","1753-1755","G317"
